Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C17, C18, C19, C2, C3",0402,7,0.1uF,C344189
"C10, C12, C13, C14, C15, C16, C8, C9",0805,8,10uF,C1713
"C4, C5, C6, C7",0805,4,22uF,C98190
"D1, D2",D_SMC_Handsoldering,2,SS86C,C382823
"D3, D4",0603,2,BLUE,C965807
"D5, D7",D_SOD-323_HandSoldering,2,SD103AWS,C513472
D6,0603,1,WHITE,C965808
D8,SOT-23,1,BAT54C,C2992451
"H1, H2, H3, H4",MountingHole_5.3mm_M5,4,MountingHole,
H5,MountingHole_3.2mm_M3,1,MountingHole,
J1,USB-C_SMD-TYPE-C-31-M-12,1,USB C,C2927038
J2,HDR-TH_4P-P2.00-V-M,1,UART,C541858
J3,HDR-TH_3P-P2.54-V-M-1,1,LEDs,C429954
"L1, L2",L_Bourns-SRN8040_8x8.15mm,2,22uH,C2942298
MK1,MIC-TH_BD6.0_B6027AP383-056,1,Microphone,C5160215
"Q1, Q2",POWERVDFN-8_L3.2-W3.1-P0.65-LS3.3-BL-1,2,G30N03D3,C840054
"Q10, Q5",SOT-23,2,SI2303,C545575
"Q11, Q12, Q13, Q3, Q4, Q6, Q7, Q9",SOT-23,8,BSS138,C347484
Q8,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,AO4407C,C469397
"R1, R18, R21, R23, R24, R28",0603,6,1M,C103216
"R10, R20, R29, R38, R8",0603,5,40.2k,C12447
R11,0603,1,24,C3017772
"R12, R14, R6",0603,3,100,C3017758
"R13, R15, R16, R17, R22, R25, R26, R3, R30, R31, R32, R33, R34, R36, R37",0603,15,10k,C103210
R19,R_LDR_5.0x4.1mm_P3mm_Vertical,1,100k~200k,C125631
R2,0603,1,866k,C5126056
"R27, R7, R9",0603,3,5.1k,C2907114
"R35, R5",0603,2,1k,C3016283
R4,0603,1,1.2k,C2907081
SW1,HDR-TH_4P-P2.00-V-M-R2-C2-S2.00,1,4-pin,C6332216
SW2,SW-TH_KF1001-01P-B0-FL-ON-01B,1,~,C5299502
SW3,SW-TH_4P-L4.5-W4.5-P3.00-LS5.0,1,~,C5359331
U1,SOP-8_L4.9-W3.9-P1.27-LS6.0-TL-EP,1,TP4056,C7473158
U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,DW01A,C351410
"U3, U4",SOT-23-6,2,MT3608,C2932326
U5,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2944070
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C5181460
U7,TO-92_Inline,1,DS18B20,C5379069
U8,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,LM358S,C83902
U9,Texas_X2QFN-12_1.6x1.6mm_P0.4mm,1,TUSB321,C139392
V1,BAT-TH_BH-18650-A1AJ005,1,18650,C5290176
